"","x"
"1",0.465841935483871
"2",0.402906451612903
"3",0.460996774193548
"4",0.410067741935484
"5",0.499409677419355
"6",0.403112903225806
"7",0.457112903225806
"8",0.41487
"9",0.386558064516129
"10",0.428729032258065
"11",0.40441935483871
"12",0.323832
"13",0.39218064516129
"14",0.430145161290323
"15",0.3907
"16",0.38248064516129
"17",0.357858333333333
"18",0.432996774193548
"19",0.370874193548387
"20",0.41171935483871
"21",0.403583870967742
"22",0.429909677419355
"23",0.481416666666667
"24",0.441270967741936
"25",0.488038709677419
"26",0.416164516129032
"27",0.380264516129032
"28",0.412593548387097
"29",0.506633333333333
"30",0.433274193548387
"31",0.381706451612903
"32",0.486951612903226
"33",0.205483870967742
"34",0.40137
"35",0.478854838709677
"36",0.326861290322581
"37",0.372096774193548
"38",0.377267741935484
"39",0.416348387096774
"40",0.41677
"41",0.434096774193548
"42",0.486306896551724
"43",0.426151612903226
"44",0.353664516129032
"45",0.340648387096774
"46",0.424325806451613
"47",0.444512903225806
"48",0.413661290322581
"49",0.464654838709677
"50",0.381664516129032
"51",0.430441935483871
"52",0.3823
"53",0.438367741935484
"54",0.376177419354839
"55",0.435851612903226
"56",0.465164516129032
"57",0.230132258064516
"58",0.397632258064516
"59",0.444522580645161
"60",0.462583870967742
"61",0.395416129032258
"62",0.400123333333333
"63",0.415454838709677
"64",0.415461290322581
"65",0.404516129032258
"66",0.439632258064516
"67",0.439893548387097
"68",0.397538709677419
"69",0.349941935483871
"70",0.430845161290323
"71",0.414093548387097
"72",0.34958064516129
"73",0.431374193548387
"74",0.449070967741936
"75",0.279912903225806
"76",0.377726666666667
"77",0.416487096774194
"78",0.435046153846154
"79",0.436961290322581
"80",0.458054838709678
"81",0.508974193548387
"82",0.376061290322581
"83",0.441025806451613
"84",0.374193548387097
"85",0.461293548387097
"86",0.433390322580645
"87",0.381664516129032
"88",0.404958064516129
"89",0.403029032258065
"90",0.438509677419355
"91",0.442506451612903
"92",0.483806451612903
"93",0.44278064516129
"94",0.45288064516129
"95",0.406887096774194
"96",0.460906451612903
"97",0.330441935483871
"98",0.434967741935484
"99",0.403377419354839
"100",0.3894
"101",0.494303225806452
"102",0.406483870967742
"103",0.456961290322581
"104",0.476187096774194
"105",0.474177419354839
"106",0.467745161290323
"107",0.422158064516129
"108",0.516183870967742
"109",0.419393548387097
"110",0.342829032258065
"111",0.452226666666667
"112",0.498390322580645
"113",0.388358064516129
"114",0.286287096774194
"115",0.46421
"116",0.411129032258065
"117",0.434706451612903
"118",0.390232258064516
"119",0.457435483870968
"120",0.440764516129032
"121",0.427987096774194
"122",0.378341935483871
"123",0.37561935483871
"124",0.430948387096774
"125",0.442693548387097
"126",0.401951612903226
"127",0.451754838709677
"128",0.465783870967742
"129",0.396077419354839
"130",0.43061935483871
"131",0.317496774193548
"132",0.38031
"133",0.470532258064516
"134",0.405541935483871
"135",0.492074193548387
"136",0.344767741935484
"137",0.365877419354839
"138",0.443203571428571
"139",0.360545161290323
"140",0.459648387096774
"141",0.27588064516129
"142",0.42971935483871
"143",0.466551612903226
"144",0.471396666666667
"145",0.390538709677419
"146",0.393712903225806
"147",0.382767741935484
"148",0.344564516129032
"149",0.500596774193548
"150",0.361413333333333
"151",0.418545161290323
"152",0.432325806451613
"153",0.43921935483871
"154",0.40878
"155",0.433825806451613
"156",0.426854838709677
"157",0.460283870967742
"158",0.393009677419355
"159",0.436348387096774
"160",0.401716129032258
"161",0.345558064516129
"162",0.450903225806452
"163",0.331077419354839
"164",0.408343333333333
"165",0.428543333333333
"166",0.439025806451613
"167",0.390145161290323
"168",0.437132258064516
"169",0.347748387096774
"170",0.438932258064516
"171",0.423329032258065
"172",0.359567741935484
"173",0.423332258064516
"174",0.363564516129032
"175",0.4515
"176",0.39961935483871
"177",0.453183870967742
"178",0.348545161290323
"179",0.432841935483871
"180",0.424525806451613
"181",0.392558064516129
"182",0.359683333333333
"183",0.418303225806452
"184",0.413187096774194
"185",0.297025806451613
"186",0.381786666666667
"187",0.393612903225806
"188",0.412993103448276
"189",0.369970967741935
"190",0.420709677419355
"191",0.45453
"192",0.39667
"193",0.497696666666667
"194",0.472229032258065
"195",0.457406451612903
"196",0.332974193548387
"197",0.456064516129032
"198",0.410474193548387
"199",0.451241935483871
"200",0.367103225806452
"201",0.424422580645161
"202",0.36387
"203",0.381306451612903
"204",0.480774193548387
"205",0.443451612903226
"206",0.444583870967742
"207",0.484
"208",0.430770967741936
"209",0.402958064516129
"210",0.41786
"211",0.398845161290323
"212",0.475454838709677
"213",0.4625
"214",0.479709677419355
"215",0.414609677419355
"216",0.478867741935484
"217",0.330941935483871
"218",0.398673333333333
"219",0.453236666666667
"220",0.425606451612903
"221",0.408196774193548
"222",0.467051612903226
"223",0.411873333333333
"224",0.386064516129032
"225",0.431674193548387
"226",0.461909677419355
"227",0.446967741935484
"228",0.475
"229",0.40674
"230",0.381206666666667
"231",0.334254838709677
"232",0.441096774193548
"233",0.395054838709677
"234",0.345230769230769
"235",0.417176666666667
"236",0.441577419354839
"237",0.437022580645161
"238",0.461709677419355
"239",0.420258064516129
"240",0.376858064516129
"241",0.382951612903226
"242",0.260961290322581
"243",0.477609677419355
"244",0.417496774193548
"245",0.469406451612903
"246",0.41201935483871
"247",0.423467741935484
"248",0.423587096774194
"249",0.417587096774194
"250",0.406967741935484
"251",0.345045161290323
"252",0.397583870967742
"253",0.422048387096774
"254",0.483161290322581
"255",0.40918
"256",0.43022
"257",0.409364516129032
"258",0.328287096774194
"259",0.484609677419355
"260",0.452667741935484
"261",0.28779
"262",0.474322580645161
"263",0.319656
"264",0.35898
"265",0.360506451612903
"266",0.454512903225806
"267",0.379983870967742
"268",0.445290322580645
"269",0.352674193548387
"270",0.511961290322581
"271",0.429203225806452
"272",0.462516129032258
"273",0.400316129032258
"274",0.351190322580645
"275",0.384990322580645
"276",0.275138709677419
"277",0.450835483870968
"278",0.378593548387097
"279",0.395306451612903
"280",0.434106451612903
"281",0.424458064516129
"282",0.36941935483871
"283",0.342512903225806
"284",0.39018064516129
"285",0.343974193548387
"286",0.45518064516129
"287",0.4435
"288",0.305009677419355
"289",0.431451612903226
"290",0.366912903225806
"291",0.397322580645161
"292",0.398729032258065
"293",0.466396774193548
"294",0.372396666666667
"295",0.425509677419355
"296",0.357335483870968
"297",0.356429032258065
"298",0.412132258064516
"299",0.435145161290323
"300",0.437890322580645
"301",0.501093548387097
"302",0.395258064516129
"303",0.452645161290323
"304",0.446283870967742
"305",0.435164516129032
"306",0.350474193548387
"307",0.442306451612903
"308",0.385726666666667
"309",0.35581935483871
"310",0.365303333333333
"311",0.444729032258065
"312",0.408648387096774
"313",0.3496
"314",0.418674193548387
"315",0.451903225806452
"316",0.413072413793103
"317",0.382454838709677
"318",0.398377419354839
"319",0.319141935483871
"320",0.411261290322581
"321",0.403116129032258
"322",0.414909677419355
"323",0.497296774193548
"324",0.373903225806452
"325",0.178694117647059
"326",0.420258620689655
"327",0.398370967741935
"328",0.416435483870968
"329",0.417267741935484
"330",0.37461935483871
"331",0.476706451612903
"332",0.435016129032258
"333",0.381058064516129
"334",0.482167741935484
"335",0.381641935483871
"336",0.474635483870968
"337",0.361945161290323
"338",0.483841935483871
"339",0.332841935483871
"340",0.447903225806452
"341",0.341448387096774
"342",0.404116129032258
"343",0.441464516129032
"344",0.385809677419355
"345",0.454622580645161
"346",0.403493548387097
"347",0.471116129032258
"348",0.412251612903226
"349",0.4239
"350",0.44221935483871
"351",0.359735483870968
"352",0.479563333333333
"353",0.361206451612903
"354",0.434029032258064
"355",0.378006451612903
"356",0.4501
"357",0.426058064516129
"358",0.248008333333333
"359",0.448603225806452
