"","V1","V2"
"1",10.1128926569558,3993.02688234545
"2",1.99819378802741,4097.90938957305
"3",135.512761603213,3993.02688234545
"4",118.408009001465,3748.3010321477
"5",-202.261327960563,3903.12759043607
"6",26.6906122028879,3858.17794448138
"7",-177.155227901844,3933.09402107253
"8",196.634645851547,3973.04926192114
"9",26.6616059281974,3868.16675469353
"10",-171.429879564024,4017.99890787583
"11",-67.2341859673013,3928.09961596645
"12",-14.4648374523991,3798.24508320846
"13",-51.0760929193335,3903.12759043607
"14",143.439857832383,4003.0156925576
"15",42.8091491118105,3923.10521086037
"16",-223.482225451346,4032.98212319406
"17",-90.1822071170952,4072.93736404267
"18",-224.275279672095,3838.20032405707
"19",223.303555269409,3878.15556490569
"20",86.9708768498245,3993.02688234545
"21",221.457595815499,3783.26186789023
"22",10.2767511028724,3848.18913426923
"23",-215.460947119009,3863.17234958746
"24",-47.7536674498386,3753.29543725377
"25",-149.388305297829,3888.14437511784
"26",102.444265602914,4052.95974361836
"27",-205.332773869151,3763.28424746592
"28",-45.9314381364679,4102.90379467913
"29",-152.122790719806,3968.05485681506
"30",-49.9841824666233,4092.91498446698
"31",-93.9702630372531,4092.91498446698
"32",-206.233657064437,3908.12199554214
"33",220.160136925821,3838.20032405707
"34",104.424358178037,3883.14997001176
"35",-138.079872324722,3823.21710873884
"36",26.1585306262023,4037.97652830014
"37",146.244910216541,3828.21151384492
"38",86.0735572245926,4082.92617425482
"39",-152.668485953701,3683.3737657687
"40",-64.8980700789859,3673.38495555655
"41",-187.241864567343,4032.98212319406
"42",51.9061602715647,3753.29543725377
"43",146.948498157946,3783.26186789023
"44",67.6794612023478,3868.16675469353
"45",223.739048947758,4022.99331298191
"46",-110.606908944578,4042.97093340621
"47",-184.054646356601,3993.02688234545
"48",47.6030346145468,3783.26186789023
"49",35.5892642368649,3673.38495555655
"50",-10.2711887464966,3853.1835393753
"51",10.1071486535667,3998.02128745152
"52",82.4048141865514,4047.96533851229
"53",-39.3242459859304,3783.26186789023
"54",205.978119939317,3733.31781682947
"55",142.657768415163,3793.25067810238
"56",69.8545079240006,4107.89819978521
"57",227.64909677153,3868.16675469353
"58",-193.996523201075,3708.34579129908
"59",-59.5405964525947,3858.17794448138
"60",85.1706731414061,3748.3010321477
"61",-166.819501889843,4047.96533851229
"62",150.686925716485,3808.23389342061
"63",73.2720146053089,3673.38495555655
"64",71.4276437607511,3913.11640064822
"65",30.6118473260358,3913.11640064822
"66",43.53252785088,3768.278652572
"67",-157.053896433332,3918.1108057543
"68",58.2526216173435,4052.95974361836
"69",-213.681038287048,4102.90379467913
"70",-226.665916547468,3738.31222193554
"71",-168.351962897764,3743.30662704162
"72",-63.921953476047,3818.22270363277
"73",128.853433148497,3893.13878022392
"74",-191.457244934793,3833.205918951
"75",207.252911038286,3863.17234958746
"76",79.3701927959712,3938.0884261786
"77",83.2072535529948,3963.06045170899
"78",-98.4268434224064,4052.95974361836
"79",-131.484760304915,3703.35138619301
"80",98.2430984311974,3688.36817087478
"81",-52.0957285361632,3718.33460151124
"82",137.782915726153,3843.19472916315
"83",-224.396125783789,3833.205918951
"84",75.1737928490607,3953.07164149683
"85",-18.2650068774845,3963.06045170899
"86",47.6533627409372,3773.27305767808
"87",-10.2656200780334,3858.17794448138
"88",-194.395918172368,3688.36817087478
"89",-2.06860115923664,3788.25627299631
"90",-110.925216188485,4017.99890787583
"91",124.762847969179,3893.13878022392
"92",-193.875033064893,3913.11640064822
"93",-125.511853761447,3838.20032405707
"94",-144.081244049338,3698.35698108693
"95",162.020528332891,3868.16675469353
"96",-71.1899320711209,3943.08283128468
"97",-14.4725272305232,3793.25067810238
"98",230.342544052675,3758.28984235985
"99",186.050180996389,4087.9205793609
"100",-154.221795074763,4077.93176914875
"101",-195.679809444668,3828.21151384492
"102",-76.4163050064837,3803.23948831454
"103",-87.4130539494991,3948.07723639076
"104",-119.938841465591,3948.07723639076
"105",13.9955710906553,4092.91498446698
"106",-168.63310287762,3953.07164149683
"107",-105.049160859768,3828.21151384492
"108",-108.697316476497,3868.16675469353
"109",-14.166082623752,3988.03247723937
"110",116.964514150319,3863.17234958746
"111",208.443787178072,3988.03247723937
"112",-187.238994955602,3838.20032405707
"113",153.312658599815,3898.13318532999
"114",-131.168432068336,4013.00450276975
"115",60.3684021612038,3728.32341172339
"116",-59.2156045036494,3908.12199554214
"117",10.2039491086782,3913.11640064822
"118",134.97222789087,4027.98771808798
"119",-85.1261028453635,3753.29543725377
"120",-205.763510208379,3743.30662704162
"121",-86.2744489906523,4062.94855383052
"122",227.019720647793,3723.32900661731
"123",-72.0538018571802,3833.205918951
"124",116.002589471036,3938.0884261786
"125",198.175240527017,3903.12759043607
"126",94.7906392883424,4017.99890787583
"127",-115.352387079127,3988.03247723937
"128",97.6857068666045,3743.30662704162
"129",6.23200047376225,3748.3010321477
"130",-51.1323147414657,3893.13878022392
"131",211.402105156679,4032.98212319406
"132",97.7386286659878,4112.89260489128
"133",37.987978674634,4092.91498446698
"134",159.787170198703,3758.28984235985
"135",-39.7762365000252,3673.38495555655
"136",-31.0125583511211,3793.25067810238
"137",149.688231265715,4107.89819978521
"138",-54.3605413260024,4032.98212319406
"139",129.065357632779,3878.15556490569
"140",-154.151266543089,3848.18913426923
"141",-215.519081815909,3678.37936066262
"142",221.209527738445,3963.06045170899
"143",-166.031794996636,3873.16115979961
"144",-217.27262643378,3958.06604660291
"145",-190.937984090786,4047.96533851229
"146",63.9561655489126,3813.22829852669
"147",209.810682616632,3748.3010321477
